Designation,Prov_Des,Ln,q,Q,EMoid,H,Epoch,M,Peri,Node,Incl,e,a,Opps,Ref,Designation,name,year,month,day,ate,site,discovers
,2021,EJ3,0.826,1.003,0.00429,27.71,20201217,101.5,322.1,14.9,0.9,0.097,0.914,( 10d),E2021-F22,2021,EJ3,2021,3,10,G96,Mt. Lemmon,Survey
,2021,EH2,0.634,1.097,0.01474,26.16,20201217,31.3,30.3,348.3,3.4,0.268,0.866,( 12d),E2021-F47,2021,EH2,2021,3,7,G96,Mt. Lemmon,Survey
,2021,EC4,0.473,1.427,0.00197,24.15,20201217,185,304,1.7,7.3,0.503,0.95,( 10d),E2021-F64,2021,EC4,2021,3,11,G96,Mt. Lemmon,Survey
,2021,EC1,0.765,1.086,0.026,26.47,20201217,29.2,42.7,350.7,8.1,0.174,0.926,( 12d),E2021-F22,2021,EC1,2021,3,6,G96,Mt. Lemmon,Survey
,2021,EB3,0.429,1.14,0.00856,25.18,20201217,126.3,315.1,4.4,2.8,0.453,0.785,(  7d),E2021-EE5,2021,EB3,2021,3,10,G96,Mt. Lemmon,Survey
,2021,DU1,0.715,1.272,0.07701,23.89,20201217,202.4,303.4,328.8,25.4,0.28,0.994,( 11d),E2021-E06,2021,DU1,2021,2,19,G96,Mt. Lemmon,Survey
,2021,DR,0.769,1.031,0.00092,27.78,20201217,62.3,220.3,143.7,1.5,0.146,0.9,( 17d),E2021-E37,2021,DR,2021,2,18,G96,Mt. Lemmon,Survey
,2021,DO1,0.647,1.055,0.06484,25.31,20201217,87.9,0.9,337.2,10.9,0.24,0.851,( 17d),E2021-E49,2021,DO1,2021,2,18,G96,Mt. Lemmon,Survey
,2021,DK1,0.531,1.168,0.03698,23.63,20201217,174.5,141.9,149.7,26.7,0.375,0.85,(  6d),E2021-F13,2021,DK1,2021,2,18,703,CSS,
,2021,DA2,0.74,1.113,0.00029,29.17,20201217,25.3,239.7,153,8.4,0.201,0.927,(  8d),E2021-E17,2021,DA2,2021,2,22,K88,"GINOP-KHK,",Piszkesteto
,2021,CZ2,0.482,1.16,0.00135,22.49,20201217,48.4,42.2,295.9,20.3,0.413,0.821,( 30d),E2021-E89,2021,CZ2,2021,2,7,G96,Mt. Lemmon,Survey
,2021,CY5,0.605,1.105,0.02233,25.87,20201217,46.5,208.2,152.7,4.7,0.292,0.855,(  9d),E2021-D54,2021,CY5,2021,2,10,F51,Pan-STARRS,1
,2021,CX,0.719,1.255,0.01204,28,20201217,229.1,113.5,134.4,5.5,0.272,0.987,(  5d),E2021-E37,2021,CX,2021,2,5,G96,Mt. Lemmon,Survey
,2021,CU1,0.712,1.212,0.00048,28.6,20201217,220.5,290,323.1,2.3,0.26,0.962,(  5d),E2021-E37,2021,CU1,2021,2,5,G96,Mt. Lemmon,Survey
,2021,CT10,0.611,1.227,0.0418,24.39,20201217,151.6,315.5,350.7,12.9,0.335,0.919,(  2d),E2021-DA1,2021,CT10,2021,2,13,V00,Kitt Peak-,Bok
,2021,CT1,0.835,1.137,0.04933,25.3,20201217,66.7,235.8,131.2,8.8,0.153,0.986,2,E2021-E37,2021,CT1,2021,2,5,G96,Mt. Lemmon,Survey
,2021,CS9,0.806,1.161,0.00182,24.29,20201217,28.6,259.4,139.4,15,0.18,0.984,( 28d),E2021-F13,2021,CS9,2021,2,15,G96,Mt. Lemmon,Survey
,2021,CR9,0.699,1.133,0.10911,24.9,20201217,85.3,14.3,332.2,10.7,0.237,0.916,( 28d),E2021-ED8,2021,CR9,2021,2,12,F51,Pan-STARRS,1
,2021,CR1,0.485,1.259,0.04719,25.1,20201217,196,144.8,137.1,12.6,0.444,0.872,( 10d),E2021-E37,2021,CR1,2021,2,5,G96,Mt. Lemmon,Survey
,2021,CP9,0.537,1.016,0.0248,26.97,20201217,74.1,5.8,332.1,14.8,0.309,0.776,(  6d),E2021-DB6,2021,CP9,2021,2,15,G96,Mt. Lemmon,Survey
,2021,CP2,0.699,1.242,0.10287,23.05,20201217,140.8,339.6,336.2,8.4,0.28,0.971,( 43d),E2021-FB1,2021,CP2,2021,2,6,G96,Mt. Lemmon,Survey
,2021,CL7,0.727,1.05,0.03081,25.67,20201217,72.4,25.8,327.5,7.3,0.182,0.888,( 22d),E2021-E37,2021,CL7,2021,2,12,F51,Pan-STARRS,1
,2021,CH1,0.35,1.151,0.05419,24.6,20201217,45.2,202.6,134.8,30.3,0.534,0.751,(  3d),E2021-E37,2021,CH1,2021,2,5,G96,Mt. Lemmon,Survey
,2021,CF8,0.573,1.344,0.00574,24.05,20201217,204.6,288.8,353.4,2,0.402,0.959,( 23d),E2021-E49,2021,CF8,2021,2,12,F51,Pan-STARRS,1
,2021,CF,0.504,1.053,0.03773,25.8,20201217,94,192.7,129.3,9.2,0.353,0.778,(  8d),E2021-E37,2021,CF,2021,2,1,G96,Mt. Lemmon,Survey
,2021,CE1,0.777,1.187,0.02236,26,20201217,50.5,244.7,129.6,6.7,0.209,0.982,(  2d),E2021-E37,2021,CE1,2021,2,5,G96,Mt. Lemmon,Survey
,2021,CD1,0.575,1.217,0.06441,24.13,20201217,193.2,319,320.7,25.3,0.358,0.896,( 14d),E2021-DB7,2021,CD1,2021,2,6,G96,Mt. Lemmon,Survey
,2021,CD,0.43,1.052,0.00303,27.23,20201217,65.4,202.9,129.2,4.7,0.42,0.741,( 18d),E2021-D74,2021,CD,2021,2,1,G96,Mt. Lemmon,Survey
,2021,CC2,0.847,1.015,0.0278,22.95,20201217,114.6,185.2,142.6,7.3,0.091,0.931,( 55d),E2021-G14,2021,CC2,2021,2,6,703,CSS,
,2021,CC,0.723,1.106,0.01847,25.41,20201217,59.2,48.7,312.4,8.5,0.209,0.915,( 20d),E2021-D74,2021,CC,2021,2,1,703,CSS,
,2021,BZ,0.694,1.298,0.0141,24.7,20201217,245.9,109.2,126.6,19.3,0.303,0.996,( 10d),E2021-D77,2021,BZ,2021,1,16,F51,Pan-STARRS,1
,2021,BW1,0.718,1.049,0.00106,26.43,20201217,114.6,220.6,98,0.9,0.188,0.883,( 46d),E2021-E17,2021,BW1,2021,1,16,F51,Pan-STARRS,1
,2021,BT2,0.45,1.396,0.07969,24.05,20201217,43.1,39.3,306.9,23.6,0.512,0.923,(  6d),E2021-BD8,2021,BT2,2021,1,17,G96,Mt. Lemmon,Survey
,2021,BS3,0.487,1.077,0.03624,23.71,20201217,138.9,160.3,143,13.5,0.377,0.782,( 35d),E2021-DB7,2021,BS3,2021,1,17,F51,Pan-STARRS,1
