Designation,Prov_Des,Ln,q,Q,EMoid,H,Epoch,M,Peri,Node,Incl,e,a,Opps,Ref,Designation,name,year,month,day,ate,site,discovers
,2019,DW,0.781,1.093,0.02775,27,20190427,179.5,47.8,338.8,10,0.166,0.937,(  6d),MPO467489,2019,DW,2019,2,26,G96,Mt. Lemmon,Survey
,2019,DV,0.828,1.089,0.09637,22.4,20190427,240.6,354.1,343.8,30.1,0.136,0.959,( 20d),MPO467489,2019,DV,2019,2,26,703,CSS,
,2019,DQ,0.506,1.14,0.00948,26.8,20190427,192.3,210.7,159.9,3.1,0.386,0.823,(  2d),MPO467488,2019,DQ,2019,2,26,G96,Mt. Lemmon,Survey
,2019,DN1,0.537,1.19,0.00376,28.8,20190427,335,133.7,159.8,8.1,0.378,0.864,(  1d),MPO467492,2019,DN1,2019,2,28,G96,Mt. Lemmon,Survey
,2019,DL1,0.732,1.016,0.02323,26.6,20190427,234.5,3.4,347.2,6.5,0.162,0.874,( 10d),MPO467492,2019,DL1,2019,2,28,703,CSS,
,2019,DB1,0.555,1.314,0.02456,24.9,20190427,146,234.7,157.3,40.9,0.406,0.935,(  8d),MPO467490,2019,DB1,2019,2,26,G96,Mt. Lemmon,Survey
,2019,DA,0.743,1.114,0.01539,23.1,20200531,261.9,248.9,132.9,8.4,0.2,0.929,2,MPO508626,2019,DA,2019,2,16,T08,ATLAS-MLO,
,2019,CR4,0.45,1.059,0.03112,26.4,20190427,310.4,352.9,320.1,5.8,0.403,0.754,(  7d),MPO467462,2019,CR4,2019,2,9,G96,Mt. Lemmon,Survey
,2019,CQ5,0.564,1.197,0.00817,27.5,20190427,181.7,229,143.5,11.8,0.359,0.88,(  3d),MPO467467,2019,CQ5,2019,2,12,G96,Mt. Lemmon,Survey
,2019,CN2,0.709,1.119,0.00371,28.4,20190427,344.6,304.4,320.8,8.1,0.224,0.914,(  5d),MPO467455,2019,CN2,2019,2,8,G96,Mt. Lemmon,Survey
,2019,BW3,0.52,1.34,0.1038,23.5,20190427,190.2,34.4,312.9,17.9,0.441,0.93,(  4d),MPO467423,2019,BW3,2019,1,28,G96,Mt. Lemmon,Survey
,2019,BV3,0.381,1.384,0.02098,25.1,20190427,184.6,42.4,306.6,20.9,0.568,0.882,(  2d),MPO467423,2019,BV3,2019,1,27,G96,Mt. Lemmon,Survey
,2019,BU3,0.71,1.01,0.00747,29.1,20190427,258.8,202.4,127.5,5.7,0.175,0.86,(  4d),MPO467423,2019,BU3,2019,1,27,G96,Mt. Lemmon,Survey
,2019,BT3,0.697,1.158,0.1735,23.2,20200531,355.5,181.5,128.1,26,0.249,0.928,( 13d),MPO562917,2019,BT3,2019,1,27,G96,Mt. Lemmon,Survey
,2019,BS2,0.497,1.008,0.01215,27.3,20190427,337.4,348.7,306.6,16.5,0.339,0.752,(  1d),MPO467419,2019,BS2,2019,1,26,G96,Mt. Lemmon,Survey
,2019,BE5,0.208,1.012,0.00001,25.1,20200531,75.3,9.8,309,1.4,0.659,0.61,2,MPO536492,2019,BE5,2019,1,31,I41,Zwicky Tra,nsient Facility
,2019,BB5,0.605,1.067,0.00641,26.7,20190427,335.8,308,335.3,1.5,0.276,0.836,(  9d),MPO467428,2019,BB5,2019,1,30,G96,Mt. Lemmon,Survey
,2019,AY4,0.636,1.32,0.09594,22.5,20200531,259,52.1,272.6,42.6,0.35,0.978,2,MPO529375,2019,AY4,2019,1,6,F51,Pan-STARRS,1
,2019,AY13,0.462,1.433,0.03638,22.69,20201217,117.3,82.4,263.6,4.8,0.512,0.947,3,E2021-G31,2019,AY13,2019,1,12,F51,Pan-STARRS,1
,2019,AX5,0.712,1.102,0.01518,26,20190427,15.6,309.2,286.8,17.2,0.215,0.907,(  7d),MPO467332,2019,AX5,2019,1,8,G96,Mt. Lemmon,Survey
,2019,AX11,0.439,1.096,0.09061,25,20190427,317.1,6.3,295.1,15,0.428,0.768,(  7d),MPO467349,2019,AX11,2019,1,14,F51,Pan-STARRS,1
,2019,AU6,0.706,1.261,0.0009,26.61,20201217,276.3,278.1,302,0.3,0.282,0.984,( 10d),E2021-GA5,2019,AU6,2019,1,8,G96,Mt. Lemmon,Survey
,2019,AR8,0.626,1.165,0.02458,25.5,20190427,23.3,157.3,84.3,2.7,0.301,0.895,(  2d),MPO467340,2019,AR8,2019,1,9,F51,Pan-STARRS,1
,2019,AR7,0.832,1.011,0.00687,26.7,20190427,259.1,35.6,287.3,6.7,0.097,0.921,(  9d),MPO467337,2019,AR7,2019,1,8,T05,ATLAS-HKO,
,2019,AR3,0.359,1.374,0.05255,22.5,20190427,216.4,36.6,286.1,29.7,0.585,0.867,( 25d),MPO467325,2019,AR3,2019,1,4,703,CSS,
,2019,AR13,0.805,1.15,0.03769,24.1,20200531,23,163.7,96.5,2.5,0.177,0.978,2,MPO545110,2019,AR13,2019,1,14,F51,Pan-STARRS,1
,2019,AQ3,0.404,0.774,0.22558,17.6,20201217,347.9,163.2,64.5,47.2,0.314,0.589,3,E2020-VF7,2019,AQ3,2019,1,4,I41,Zwicky Tra,nsient Facility
,2019,AQ2,0.795,1.118,0.00169,25.6,20200531,278.4,247.6,97.8,1.7,0.168,0.957,2,MPO545110,2019,AQ2,2019,1,3,F51,Pan-STARRS,1
,2019,AP6,0.436,1.044,0.02185,21.2,20201217,173.3,325,327.3,7.1,0.411,0.74,2,MPO600118,2019,AP6,2019,1,7,I41,Zwicky Tra,nsient Facility
,2019,AP11,0.703,1.087,0.01239,25.2,20190427,350,313.6,306.3,11.1,0.215,0.895,( 21d),MPO467348,2019,AP11,2019,1,11,F51,Pan-STARRS,1
,2019,AO12,0.502,1.041,0.00633,25.6,20190427,307.7,202.1,103.9,4.5,0.349,0.771,( 16d),MPO467351,2019,AO12,2019,1,15,F51,Pan-STARRS,1
,2019,AN11,0.679,1.077,0.01313,25.3,20190427,354.6,319.6,302.9,7.8,0.227,0.878,(  4d),MPO467348,2019,AN11,2019,1,11,F51,Pan-STARRS,1
,2019,AM8,0.616,1.319,0.01893,27,20190427,32.4,143.5,85.2,2.2,0.363,0.967,(  2d),MPO467339,2019,AM8,2019,1,9,G96,Mt. Lemmon,Survey
,2019,AG7,0.483,1.008,0.00493,25.5,20200531,254.5,98.9,182.2,0.3,0.352,0.745,( 18d),MPO562915,2019,AG7,2019,1,9,703,CSS,
,2019,AF13,0.654,1.237,0.03134,23.8,20200531,300.1,278.9,54,5.4,0.309,0.945,2,MPO545110,2019,AF13,2019,1,9,F51,Pan-STARRS,1
,2019,AE3,0.898,1.098,0.00178,27.4,20190427,189.3,271.8,101.9,14.8,0.1,0.998,(  2d),MPO477910,2019,AE3,2019,1,4,703,CSS,
,2019,AD3,0.646,1.036,0.05264,26,20190427,324.4,0.9,284.4,11,0.232,0.841,(  5d),MPO467322,2019,AD3,2019,1,3,F51,Pan-STARRS,1
,2018,YG,0.433,1.107,0.07581,24.3,20201217,207.9,342.6,266.7,29.4,0.438,0.77,2,MPO600118,2018,YG,2018,12,16,F51,Pan-STARRS,1
,2018,YF2,0.6,1.151,0.08921,20.8,20190427,6.6,328.3,264.9,48.7,0.315,0.876,( 46d),MPO467307,2018,YF2,2018,12,24,F51,Pan-STARRS,1
,2018,YA1,0.56,0.993,0.00636,23.3,20190427,347,204.8,71,1.8,0.279,0.776,( 29d),MPO467304,2018,YA1,2018,12,19,703,CSS,
,2018,XW2,0.697,1.3,0.01964,25.5,20190427,212.2,250,78.2,19.7,0.302,0.998,(  4d),MPO467273,2018,XW2,2018,12,10,G96,Mt. Lemmon,Survey
,2018,XQ2,0.705,1.009,0.00004,28.2,20201217,13.3,148.1,111.7,0.1,0.178,0.857,( 28d),E2020-UH6,2018,XQ2,2018,12,10,G96,Mt. Lemmon,Survey
,2018,XM5,0.582,1.089,0.03445,24.4,20190427,19.6,152.7,92.8,10.2,0.303,0.835,( 21d),MPO477910,2018,XM5,2018,12,14,G96,Mt. Lemmon,Survey
,2018,XD5,0.58,1.06,0.0392,24.7,20190427,351.7,356.3,271.9,4.5,0.292,0.82,( 26d),MPO467282,2018,XD5,2018,12,14,F51,Pan-STARRS,1
,2018,XC,0.471,1.109,0.01352,25.7,20190427,319.9,212.2,69.8,21.3,0.403,0.79,(  7d),MPO477909,2018,XC,2018,12,3,I41,Zwicky Tra,nsient Facility
,2018,WU,0.374,1.008,0.02058,24.7,20190427,88,0.4,237.5,14.8,0.459,0.691,( 10d),MPO467250,2018,WU,2018,11,18,G96,Mt. Lemmon,Survey
,2018,WL2,0.286,1.482,0.08348,21.9,20190427,88.9,149.2,65.3,34.9,0.677,0.884,( 37d),MPO467258,2018,WL2,2018,11,28,T05,ATLAS-HKO,
,2018,WK,0.604,1.192,0.00762,27.1,20190427,286.6,228.3,53.4,4.2,0.328,0.898,(  2d),MPO467249,2018,WK,2018,11,17,G96,Mt. Lemmon,Survey
,2018,WH1,0.727,1,0.00345,28.6,20190427,341.3,197.8,64.4,4.7,0.158,0.864,( 16d),MPO467252,2018,WH1,2018,11,27,703,CSS,
,2018,WE2,0.531,1.083,0.0421,25.8,20190427,65.9,335.3,247.2,23.2,0.342,0.807,(  5d),MPO467257,2018,WE2,2018,11,29,G96,Mt. Lemmon,Survey
,2018,WC2,0.562,1.13,0.00537,25,20190427,73.6,317.9,250.2,7.2,0.336,0.846,(  7d),MPO467256,2018,WC2,2018,11,29,G96,Mt. Lemmon,Survey
,2018,WC,0.548,1.033,0.0384,23.1,20190427,24.6,9.7,237.5,40.9,0.306,0.791,( 23d),MPO467247,2018,WC,2018,11,16,I41,Zwicky Tra,nsient Facility
,2018,WA1,0.751,0.994,0.00222,30.1,20190427,4.5,8.4,233.4,1.8,0.139,0.872,(  6d),MPO467251,2018,WA1,2018,11,16,G96,Mt. Lemmon,Survey
,2018,VZ5,0.415,1.195,0.02667,24.8,20190427,333.4,212.1,45.7,15.6,0.484,0.805,(  8d),MPO467103,2018,VZ5,2018,11,8,F52,Pan-STARRS,2
,2018,VV6,0.689,1.228,0.02764,26.8,20190427,268.9,58.6,226.4,14.1,0.281,0.958,(  3d),MPO467106,2018,VV6,2018,11,8,G96,Mt. Lemmon,Survey
,2018,VU4,0.407,1.098,0.04928,23.9,20190427,109.3,161.3,46.6,22.7,0.459,0.753,(  4d),MPO477909,2018,VU4,2018,11,6,G96,Mt. Lemmon,Survey
,2018,VT7,0.897,1.07,0.01091,27.9,20190427,59.2,112.8,53.9,2.5,0.088,0.983,( 24d),MPO467109,2018,VT7,2018,11,11,G96,Mt. Lemmon,Survey
,2018,VS3,0.529,1.296,0.1434,22.4,20190427,317,207.8,34.9,24.7,0.42,0.912,(  6d),MPO467093,2018,VS3,2018,11,3,G96,Mt. Lemmon,Survey
,2018,VR3,0.747,1.195,0.0007,26.9,20190427,92.1,108.2,46.6,9,0.231,0.971,(  3d),MPO467093,2018,VR3,2018,11,6,F52,Pan-STARRS,2
,2018,VP5,0.54,1.285,0.03028,25.3,20190427,278.7,46.1,227.9,12.3,0.409,0.913,(  4d),MPO467101,2018,VP5,2018,11,8,G96,Mt. Lemmon,Survey
,2018,VG,0.489,1.043,0.00162,27.4,20190427,123.4,337.3,218.9,2.8,0.362,0.766,(  2d),MPO467080,2018,VG,2018,11,1,T05,ATLAS-HKO,
,2018,VC7,0.707,1.038,0.00232,27.4,20190427,72.4,132.2,60.2,0.8,0.19,0.873,(  1d),MPO477909,2018,VC7,2018,11,10,T08,ATLAS-MLO,
,2018,VB7,0.586,1.046,0.00777,25.1,20190427,11.2,26.8,221.3,8.5,0.282,0.816,( 32d),MPO467107,2018,VB7,2018,11,9,703,CSS,
,2018,VB10,0.809,1.173,0.01994,25.8,20190427,251.6,71.4,230.8,11.6,0.183,0.991,(  5d),MPO477909,2018,VB10,2018,11,14,703,CSS,
,2018,VB1,0.442,1.068,0.04004,23.7,20201217,237.3,185.2,48.4,6.8,0.415,0.755,2,MPO600117,2018,VB1,2018,11,2,G96,Mt. Lemmon,Survey
,2018,UY1,0.615,1.15,0.00831,24.1,20200531,220.3,313.3,219.1,7.2,0.303,0.883,( 20d),MPO562912,2018,UY1,2018,10,21,G96,Mt. Lemmon,Survey
,2018,UV1,0.704,1.167,0.16463,24.4,20190427,9.5,8.5,209.3,22.9,0.247,0.936,( 14d),MPO473508,2018,UV1,2018,10,20,G96,Mt. Lemmon,Survey
,2018,UC,0.662,1.325,0.0028,25.9,20190427,106.2,22.7,123.5,0.2,0.334,0.993,( 13d),MPO473507,2018,UC,2018,10,16,F52,Pan-STARRS,2
,2018,TY5,0.455,1.4,0.02842,22.2,20190427,136.2,133.1,26,18.8,0.509,0.928,( 13d),MPO458814,2018,TY5,2018,10,11,K88,"GINOP-KHK,",Piszkesteto
,2018,TU4,0.764,1.177,0.02939,25.5,20190427,105.4,298.5,199.5,19.4,0.213,0.971,(  5d),MPO458810,2018,TU4,2018,10,10,G96,Mt. Lemmon,Survey
,2018,TS6,0.705,1.092,0.00414,28.2,20180919,97.5,46.1,189.7,9,0.215,0.898,(  2d),MPO461102,2018,TS6,2018,10,3,T05,ATLAS-HKO,
,2018,TJ3,0.619,1.283,0.05887,24.8,20190427,109.8,138.4,11.7,10.3,0.349,0.951,( 12d),MPO458807,2018,TJ3,2018,10,6,G96,Mt. Lemmon,Survey
,2018,TF5,0.571,1.238,0.01368,25.4,20190427,325.6,47.4,196.6,7.6,0.369,0.904,( 10d),MPO458812,2018,TF5,2018,10,10,F52,Pan-STARRS,2
,2018,TD2,0.493,1.193,0.02144,26.5,20190427,150.9,323.7,193.2,10.5,0.415,0.843,(  5d),MPO458802,2018,TD2,2018,10,5,G96,Mt. Lemmon,Survey
,2018,TB3,0.47,1.188,0.00943,26.7,20190427,9.9,216.6,11.1,7.5,0.433,0.829,(  6d),MPO473505,2018,TB3,2018,10,6,G96,Mt. Lemmon,Survey
,2018,TA2,0.809,1.148,0.01963,27,20190427,110.7,120.2,6.4,5.3,0.173,0.978,(  5d),MPO458801,2018,TA2,2018,10,5,G96,Mt. Lemmon,Survey
,2018,SY2,0.477,1.07,0.18346,20.8,20200531,8,246.1,277.5,26.8,0.384,0.773,2,MPO562912,2018,SY2,2018,9,29,G96,Mt. Lemmon,Survey
,2018,SP2,0.735,1.115,0.00211,24.8,20190427,128.6,303.3,187.2,26.8,0.206,0.925,(  2d),MPO458776,2018,SP2,2018,9,29,I41,Zwicky Tra,nsient Facility
,2018,SO2,0.567,1.105,0.00534,25.9,20190427,151.9,144.7,5.3,5.4,0.322,0.836,(  2d),MPO458776,2018,SO2,2018,9,29,703,CSS,
,2018,SN2,0.656,1.019,0.01819,24.4,20190427,84.5,1,186.7,13.1,0.217,0.838,( 16d),MPO458775,2018,SN2,2018,9,29,F52,Pan-STARRS,2
,2018,SD2,0.827,1.034,0.00045,28.6,20190427,105.9,138,1.8,3.7,0.111,0.93,( 17d),MPO496126,2018,SD2,2018,9,21,T05,ATLAS-HKO,
,2018,RY1,0.544,1.101,0.00081,24.4,20200531,288.6,325,199.8,1.2,0.339,0.822,( 52d),MPO545082,2018,RY1,2018,9,7,G96,Mt. Lemmon,Survey
,2018,RW1,0.661,1.171,0.11118,23.4,20190427,95.1,177.5,339.7,8.2,0.278,0.916,( 36d),MPO461091,2018,RW1,2018,9,6,G96,Mt. Lemmon,Survey
,2018,RW,0.639,1.088,0.00047,30.6,20180323,33.5,301.2,184.7,0.1,0.26,0.864,(  1d),MPO452091,2018,RW,2018,9,7,G96,Mt. Lemmon,Survey
,2018,RU3,0.715,1.197,0.06845,23,20190427,10.2,30.4,171.8,7.9,0.252,0.956,2,MPO504264,2018,RU3,2018,9,9,703,CSS,
,2018,RQ1,0.728,1.029,0.00813,24.2,20190427,112.7,116.4,38.3,0.8,0.171,0.879,( 28d),MPO461091,2018,RQ1,2018,9,7,703,CSS,
,2018,RP8,0.38,1.189,0.13207,19.7,20201217,180.9,247.6,321.3,15.4,0.515,0.785,4,E2020-T08,2018,RP8,2018,9,15,T05,ATLAS-HKO,
,2018,RO5,0.762,1.222,0.00071,25.6,20190427,309.5,252.3,347.9,2.7,0.231,0.992,( 24d),MPO473499,2018,RO5,2018,9,12,703,CSS,
,2018,RN2,0.573,1.19,0.03611,24.6,20180323,52.9,141,340.7,16,0.349,0.882,(  4d),MPO452098,2018,RN2,2018,9,7,G96,Mt. Lemmon,Survey
,2018,RL4,0.523,1.221,0.05519,22.9,20190427,107.3,276.8,241.9,5.8,0.401,0.872,( 26d),MPO461091,2018,RL4,2018,9,10,G96,Mt. Lemmon,Survey
,2018,RH7,0.699,1.232,0.15063,24.3,20180323,51,149,349.5,30.6,0.276,0.965,(  4d),MPO452114,2018,RH7,2018,9,13,G96,Mt. Lemmon,Survey
,2018,RH6,0.76,1.211,0.01286,27.5,20180323,91.5,121.9,345.9,3,0.229,0.985,(  5d),MPO452112,2018,RH6,2018,9,13,G96,Mt. Lemmon,Survey
,2018,RH3,0.697,1.22,0.00112,26.1,20190427,330.9,282.8,303.6,0.4,0.273,0.959,(  8d),MPO461091,2018,RH3,2018,9,9,T05,ATLAS-HKO,
,2018,RD2,0.557,1.061,0.01214,27.7,20180323,272.7,202.8,343.7,11,0.311,0.809,(  3d),MPO452097,2018,RD2,2018,9,7,G96,Mt. Lemmon,Survey
,2018,RC,0.653,1.061,0.00007,24.9,20180323,19.3,145.9,347.1,1.6,0.238,0.857,(  8d),MPO452088,2018,RC,2018,9,3,T08,ATLAS-MLO,
,2018,QT1,0.267,1.051,0.0329,22.3,20190427,230.6,330.5,194,7.9,0.595,0.659,( 32d),MPO461089,2018,QT1,2018,8,28,C51,WISE,
,2018,QS1,0.851,1.123,0.00196,27.6,20180323,112,288.4,151,25.6,0.138,0.987,(  1d),MPO452075,2018,QS1,2018,8,23,I41,Zwicky Tra,nsient Facility
,2018,PZ21,0.637,1.078,0.00035,26.7,20190427,100.4,214.6,309.1,3.2,0.257,0.857,( 25d),MPO477907,2018,PZ21,2018,8,12,F51,Pan-STARRS,1
,2018,PU23,0.879,1.042,0.00663,28.1,20180323,52.6,333.5,147.7,0.9,0.085,0.961,(  8d),MPO452064,2018,PU23,2018,8,11,F51,Pan-STARRS,1
,2018,PR10,0.349,1.114,0.05212,24.2,20180323,334.5,170.4,319.9,12.6,0.523,0.731,(  4d),MPO452048,2018,PR10,2018,8,8,F51,Pan-STARRS,1
,2018,PN22,0.954,1.038,0.01496,27.5,20200531,79.4,214.2,315.8,4.4,0.042,0.996,( 31d),MPO562911,2018,PN22,2018,8,13,F51,Pan-STARRS,1
,2018,PK21,0.905,1.066,0.00606,25.9,20201217,286.9,226.4,302.9,1.2,0.082,0.985,3,MPO600115,2018,PK21,2018,8,11,F51,Pan-STARRS,1
,2018,PK20,0.647,1.136,0.02061,25.9,20180323,76,140.5,320.5,10.2,0.274,0.892,( 11d),MPO452055,2018,PK20,2018,8,11,F51,Pan-STARRS,1
,2018,PD22,0.362,1.226,0.03948,24,20180323,32.2,359.2,123.1,4,0.544,0.794,(  2d),MPO452059,2018,PD22,2018,8,13,F51,Pan-STARRS,1
,2018,OQ,0.47,1.022,0.00695,26.8,20180323,350.7,207.5,273,1.2,0.37,0.746,(  6d),MPO452036,2018,OQ,2018,7,19,I41,Zwicky Tra,nsient Facility
,2018,NX,0.907,1.047,0.00022,27.7,20180323,11.2,232.8,285.7,5.3,0.072,0.977,( 11d),MPO452012,2018,NX,2018,7,8,I41,Zwicky Tra,nsient Facility
,2018,NV,0.777,1.073,0.02026,22.8,20180323,108.8,146.1,283.1,11.7,0.16,0.925,( 16d),MPO452012,2018,NV,2018,7,8,Y00,SONEAR Obs,"ervatory, Oliveira"
,2018,NR1,0.663,1.093,0.0219,24.6,20180323,73.7,336.2,117.4,4.7,0.245,0.878,( 49d),MPO452014,2018,NR1,2018,7,10,F52,Pan-STARRS,2
,2018,NJ4,0.782,1.13,0.08386,21.9,20190427,122.5,331.7,133.3,22.9,0.182,0.956,2,MPO477907,2018,NJ4,2018,7,13,F51,Pan-STARRS,1
,2018,NE,0.782,1.159,0.04279,23.5,20201217,314.7,266.2,244.9,9.3,0.194,0.971,3,E2020-V59,2018,NE,2018,7,3,G96,Mt. Lemmon,Survey
,2018,MY6,0.765,1.045,0.02652,21.2,20200531,270.1,351.7,94.1,50,0.154,0.905,( 36d),MPO529361,2018,MY6,2018,6,22,F51,Pan-STARRS,1
,2018,MR8,0.799,1.146,0.10505,20.4,20200531,208.7,155.5,288,28,0.178,0.972,3,MPO554941,2018,MR8,2018,6,24,F51,Pan-STARRS,1
,2018,MN8,0.264,1.431,0.05036,22.8,20180323,320.7,21.8,105,12.4,0.688,0.848,( 24d),MPO452004,2018,MN8,2018,6,25,F51,Pan-STARRS,1
,2018,MH7,0.734,1.053,0.01624,26.1,20180323,38.4,21.7,95.7,6.5,0.178,0.893,( 17d),MPO452002,2018,MH7,2018,6,23,F51,Pan-STARRS,1
,2018,MG7,0.614,1.211,0.02265,21.3,20190427,250.9,132.3,270.6,25.1,0.327,0.912,( 16d),MPO473496,2018,MG7,2018,6,20,Y00,SONEAR Obs,"ervatory, Oliveira"
,2018,MD7,0.843,1.051,0.00154,22.7,20190427,161.4,313.2,134.4,8.2,0.11,0.947,( 43d),MPO477907,2018,MD7,2018,6,21,G96,Mt. Lemmon,Survey
,2018,MA5,0.779,1.118,0.03673,26.3,20180323,33.8,26.5,97.8,4.3,0.179,0.948,( 19d),MPO451993,2018,MA5,2018,6,17,F51,Pan-STARRS,1
,2018,LV2,0.696,1.29,0.01169,25.2,20180323,8.3,300.8,198.1,3,0.299,0.993,( 14d),MPO451967,2018,LV2,2018,6,7,G96,Mt. Lemmon,Survey
,2018,LS3,0.69,1.077,0.05006,25.4,20180323,97.2,347.5,83.3,11.2,0.219,0.883,( 12d),MPO451970,2018,LS3,2018,6,10,F51,Pan-STARRS,1
,2018,LM15,0.566,1.361,0.01442,25.5,20180323,353.3,56.6,79.5,32,0.413,0.964,(  4d),MPO451988,2018,LM15,2018,6,9,I41,Zwicky Tra,nsient Facility
,2018,LM,0.698,1.041,0.0084,25.2,20190427,187.4,20.8,72.2,7.1,0.197,0.869,( 23d),MPO473496,2018,LM,2018,6,4,703,CSS,
,2018,LH5,0.431,1.184,0.12427,22,20180323,79.7,168.9,273.7,22.8,0.466,0.808,( 29d),MPO451974,2018,LH5,2018,6,12,F51,Pan-STARRS,1
,2018,LG4,0.638,1.203,0.01189,27,20190427,92.7,34.4,97.5,2,0.307,0.921,( 10d),MPO477906,2018,LG4,2018,6,12,G96,Mt. Lemmon,Survey
,2018,LB,0.556,1.086,0.00237,26,20180323,141.9,317.9,81.2,0.7,0.323,0.821,(  1d),MPO451956,2018,LB,2018,6,1,I41,Zwicky Tra,nsient Facility
,2018,KX1,0.609,1.1,0.08889,23,20180323,108.9,181,233.3,37.5,0.287,0.854,( 12d),MPO457152,2018,KX1,2018,5,21,G96,Mt. Lemmon,Survey
,2018,KU1,0.391,1.271,0.20305,20.8,20180323,44.8,271.8,162.5,16.9,0.53,0.831,( 22d),MPO457152,2018,KU1,2018,5,19,G96,Mt. Lemmon,Survey
,2018,KR,0.699,1.069,0.01185,26.4,20180323,140,263.6,135.5,1.1,0.209,0.884,( 17d),MPO457152,2018,KR,2018,5,17,G96,Mt. Lemmon,Survey
,2018,KK1,0.25,1.029,0.01028,23.5,20180323,67.1,192.4,225.2,14,0.609,0.64,( 14d),MPO457152,2018,KK1,2018,5,19,G96,Mt. Lemmon,Survey
,2018,KD2,0.453,1.279,0.00375,25.7,20190427,143.9,48.4,54.5,3.3,0.477,0.866,(  2d),MPO448906,2018,KD2,2018,5,21,T08,ATLAS-MLO,
,2018,JT2,0.368,1.146,0.09326,24.6,20190427,3.6,348.5,51.4,25.7,0.514,0.757,(  2d),MPO448894,2018,JT2,2018,5,12,G96,Mt. Lemmon,Survey
,2018,JM2,0.668,1.053,0.01694,25.6,20190427,222.4,203.9,226.7,16.7,0.224,0.86,(  8d),MPO448894,2018,JM2,2018,5,10,G96,Mt. Lemmon,Survey
,2018,JL1,0.806,1.155,0.00336,26.7,20190427,262.7,287.3,54.7,5.2,0.178,0.981,(  8d),MPO448889,2018,JL1,2018,5,8,G96,Mt. Lemmon,Survey
,2018,JK3,0.688,1.219,0.03218,21.7,20180323,194,305.2,64.6,43.2,0.278,0.954,( 13d),MPO457151,2018,JK3,2018,5,15,G96,Mt. Lemmon,Survey
,2018,JH1,0.391,1.24,0.01538,25.3,20190427,211.1,232.8,206.5,3.5,0.521,0.815,(  6d),MPO448888,2018,JH1,2018,5,8,G96,Mt. Lemmon,Survey
,2018,JF2,0.529,1.044,0.03333,24.1,20200531,160.7,179.8,230.5,13.4,0.327,0.786,( 24d),MPO562910,2018,JF2,2018,5,9,T08,ATLAS-MLO,
,2018,JB3,0.485,0.882,0.13586,17.6,20190427,12.5,355.2,106.4,40.4,0.29,0.683,2,MPO477906,2018,JB3,2018,5,13,703,CSS,
,2018,HU,0.518,1.111,0.02022,25.7,20190427,257.6,28.2,33.4,10.7,0.364,0.815,( 14d),MPO450738,2018,HU,2018,4,20,703,CSS,
,2018,HP,0.48,1.133,0.02131,26.3,20190427,22.3,154.5,208.7,7.6,0.405,0.806,(  7d),MPO466938,2018,HP,2018,4,19,G96,Mt. Lemmon,Survey
,2018,HM2,0.642,1.032,0.02221,23.7,20190427,273.6,6.6,40.8,10.9,0.233,0.837,( 18d),MPO450738,2018,HM2,2018,4,27,703,CSS,
,2018,HB,0.333,1.287,0.1806,22.2,20190427,4.3,354.8,14.4,22.1,0.589,0.81,( 24d),MPO450738,2018,HB,2018,4,16,G96,Mt. Lemmon,Survey
,2018,GY4,0.266,1.57,0.1757,19,20200531,306.4,102.7,267,17.2,0.71,0.918,3,MPO546156,2018,GY4,2018,4,13,F51,Pan-STARRS,1
,2018,GY,0.454,1.078,0.0088,24.6,20200531,239.4,204.8,177,8.7,0.407,0.766,2,MPO545074,2018,GY,2018,4,8,G96,Mt. Lemmon,Survey
,2018,GX1,0.844,1.073,0.04773,24.2,20190427,266,146.9,195.3,20.4,0.12,0.958,(  6d),MPO445229,2018,GX1,2018,4,10,G96,Mt. Lemmon,Survey
,2018,GU3,0.505,1.322,0.04894,23.8,20190427,338.2,315.1,26.9,33.2,0.447,0.914,(  2d),MPO445235,2018,GU3,2018,4,12,F51,Pan-STARRS,1
,2018,GR4,0.832,1.04,0.00042,27.1,20201217,143.3,232.9,167.6,1,0.111,0.936,( 64d),MPO600108,2018,GR4,2018,4,12,G96,Mt. Lemmon,Survey
,2018,GQ,0.715,1.08,0.04038,23.4,20190427,230.2,211.3,187.3,18.5,0.203,0.898,( 10d),MPO445224,2018,GQ,2018,4,8,G96,Mt. Lemmon,Survey
,2018,GE,0.827,1.02,0.00969,27.5,20190427,210.8,242.5,164.8,1.2,0.105,0.923,( 33d),MPO450736,2018,GE,2018,4,5,G96,Mt. Lemmon,Survey
,2018,GB,0.736,1.078,0.04729,25,20190427,314.1,152.7,183.2,14.4,0.188,0.907,(  2d),MPO445221,2018,GB,2018,4,4,G96,Mt. Lemmon,Survey
,2018,FY,0.853,1.11,0.02532,23.3,20201217,57.4,244.8,164.5,11,0.131,0.981,2,MPO600106,2018,FY,2018,3,16,G96,Mt. Lemmon,Survey
,2018,FT3,0.749,1.057,0.02865,26.8,20190427,283.2,173.3,185.9,3.1,0.171,0.903,(  6d),MPO439053,2018,FT3,2018,3,20,G96,Mt. Lemmon,Survey
,2018,FM2,0.853,1.031,0.01402,26.6,20190427,281.1,191.9,143.1,1.2,0.095,0.942,( 37d),MPO439050,2018,FM2,2018,3,19,F51,Pan-STARRS,1
